Horário,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira
7:00,,,,,
7:55,,XMAC01,XMAC01,,
8:50,,XMAC01,XMAC01,,
10:10,,XDES01,XDES01,,
11:05,,XDES01,XDES01,,
13:30,,,MAT00A,CAHC04,
14:25,,,MAT00A,CAHC04,
15:45,MAT00A,CRSC03,,CRSC03,
16:40,MAT00A,CRSC03,,CRSC03,
17:35,,,,,
19:00,MAT00A,XDES01,IEPG22,SAHC05,SACH04
19:50,MAT00A,XDES01,IEPG22,SAHC05,SACH04
21:00,SAHC05,IEPG01,MAT00A,XDES01,
21:50,SAHC05,IEPG01,MAT00A,XDES01,
22:40,,IEPG01,,,
7:00,,,,,
7:55,,,,CMAC03,
8:50,,,,CMAC03,
10:10,,CMAC03,XDES04,,
11:05,,CMAC03,XDES04,,
13:30,CTCO02,CRSC02,XMAC02,CRSC02,XMAC02
14:25,CTCO02,CRSC02,XMAC02,,XMAC02
15:45,XDES04,XDES02,CTCO02,XDES02,
16:40,XDES04,XDES02,CTCO02,XDES02,
17:35,,,,,
19:00,STCO02,XDES03,SDES05,SRSC03,STCO02
19:50,STCO02,XDES03,SDES05,SRSC03,STCO02
21:00,,SRSC03,IEPG20,XDES03,SDES05
21:50,,SRSC03,IEPG20,XDES03,SDES05
22:40,,,IEPG20,,
7:00,,,,,
7:55,,,CTCO03,,CTCO05
8:50,,,CTCO03,,CTCO05
10:10,,CTCO05,XPAD04,XPAD01,CTCO03
11:05,,CTCO05,XPAD04,XPAD01,CTCO03
13:30,,XMCO01,XPAD01,XMCO01,
14:25,,XMCO01,XPAD01,XMCO01,
15:45,XPAD04,IEPG21,ADM51H,CMCO05,CMCO05
16:40,XPAD04,IEPG21,ADM51H,CMCO05,CMCO05
17:35,,IEPG21,ADM51H,,
19:00,ADM51E,XPAD09,SPAD02,SPAD03,XRSC01
19:50,ADM51E,XPAD09,SPAD02,SPAD03,XRSC01
21:00,SPAD02,XRSC01,XPAD09,SPAD03,
21:50,SPAD02,XRSC01,XPAD09,SPAD03,
22:40,,,,,
7:00,,,,,
7:55,,XDES03,COM212,XDES03,XAHC02
8:50,,XDES03,COM212,XDES03,XAHC02
10:10,,XAHC02,XPAD04,XRSC09,CRSC08
11:05,,XAHC02,XPAD04,XRSC09,CRSC08
13:30,COM212,XRSC09,CRSC08,XAHC03,XAHC03
14:25,COM212,XRSC09,CRSC08,XAHC03,XAHC03
15:45,XPAD04,IEPG21,ADM51H,CMCO05,CMCO05
16:40,XPAD04,IEPG21,ADM51H,CMCO05,CMCO05
17:35,,IEPG21,ADM51H,,
19:00,SDES07,SADG01,SDES07,XAHC02,SIN413
19:50,SDES07,SADG01,SDES07,XAHC02,SIN413
21:00,XAHC02,SIN413,SADG01,SIN313,
21:50,XAHC02,SIN413,SADG01,SIN313,
22:40,,,,SIN313,
13:30,,,,,
14:25,,,,,
15:45,,,,,CIC111.1
16:40,,,,,CIC111.2
17:35,,,,,CIC111.1
19:00,,SIN311,,,
19:50,,SIN311,,,
21:00,,,SIN311,,SIN414.1
21:50,,,SIN311,,SIN414.1
22:40,,,,,SIN414.1
7:00,,,,,
7:55,,,,,
8:50,,,,,
10:10,,,XPAD08,XRSC09,CRSC08
11:05,,,XPAD08,XRSC09,CRSC08
13:30,,XRSC09,CRSC08,,
14:25,,XRSC09,CRSC08,,
15:45,XPAD08,IEPG21,ADM51H,,
16:40,XPAD08,IEPG21,ADM51H,,
17:35,,IEPG21,ADM51H,,
19:00,,XPAD09,SADG02,XRSC07,SADG02
19:50,,XPAD09,SADG02,XRSC07,SADG02
21:00,,,XPAD09,XRSC07,
21:50,,,XPAD09,XRSC07,
22:40,,,,,
19:00,,,PCO209,,
19:50,,,PCO209,,
21:00,,,PCO209,,
21:50,,,PCO209,,
22:40,,,,,
7:00,,,,,
7:55,,CCO016,CCO016,CCO016,
8:50,,CCO016,CCO016,CCO016,
10:10,CCO016,CCO016,,CCO016,CCO016
11:05,CCO016,CCO016,,CCO016,CCO016
13:30,,,,CCO016,
14:25,,,,CCO016,
15:45,,CCO016,,CCO016,
16:40,,CCO016,,CCO016,
13:30,,,,CCO016,
14:25,,,,CCO016,
15:45,,CCO016,,CCO016,
16:40,,CCO016,,CCO016,
