Horário,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira
10:10,,XDES01,,XDES01,
11:05,,XDES01,,XDES01,
13:30,,CRSC03,MAT00A,CRSC03,
14:25,,CRSC03,MAT00A,CRSC03,
15:45,MAT00A,CAHC04,XMAC01,XMAC01,
16:40,MAT00A,CAHC04,XMAC01,XMAC01,
19:00,MAT00A,XDES01,IEPG22,XDES01,SAHC04
19:50,MAT00A,XDES01,IEPG22,XDES01,SAHC04
21:00,SAHC05,IEPG01,MAT00A,SAHC05,
21:50,SAHC05,IEPG01,MAT00A,SAHC05,
22:40,,IEPG01,,,
10:10,XDES04,XDES04,XDES02,XMAC02,
11:05,XDES04,XDES04,XDES02,XMAC02,
13:30,CMAC03,XMAC02,CMAC03,CTCO02,
14:25,CMAC03,XMAC02,CMAC03,CTCO02,
15:45,XDES02,CRSC02,CTCO02,CRSC02,
16:40,XDES02,CRSC02,CTCO02,CRSC02,
19:00,SRSC03,STCO02,XDES03,SRSC03,SDES05
19:50,SRSC03,STCO02,XDES03,SRSC03,SDES05
21:00,,SDES05,IEPG20,STCO02,XDES03
21:50,,SDES05,IEPG20,STCO02,XDES03
22:40,,,IEPG20,,
7:55,,CTCO03,,,
8:50,,CTCO03,,,
10:10,,CTCO03,CTCO05,CTCO05,
11:05,,CTCO03,CTCO05,CTCO05,
13:30,XMCO01,XMCO01,XPAD01,XPAD01,CMCO05
14:25,XMCO01,XMCO01,XPAD01,XPAD01,CMCO05
15:45,,,CMCO05,,
16:40,,,CMCO05,,
19:00,ADM51E,SPAD03,SPAD03,XRSC01,
19:50,ADM51E,SPAD03,SPAD03,XRSC01,
21:00,,SPAD02,XRSC01,SPAD02,
21:50,,SPAD02,XRSC01,SPAD02,
13:30,,,,XAHC01,XAHC03
14:25,,,,XAHC01,XAHC01
15:45,,,,XAHC01,XAHC01
16:40,,,,XAHC01,XAHC01
19:00,XDES16,SDES07,XDES16,XAHC02,
19:50,XPAD09,SDES07,XPAD09,XAHC02,
21:00,XDES14,SDES07,XDES14,XAHC02,
21:50,XMCO03,SDES07,XMCO03,XAHC02,
19:00,,SADG01,,,
19:50,,SADG01,,,
21:00,,,,SIN414,SADG01
21:50,,,,SIN414,SADG01
22:40,,,,SIN414,
13:30,,,,,XRSC08
14:25,,,,,XRSC08
15:45,,IEPG21,ADM51H,,XRSC08
16:40,,IEPG21,ADM51H,,XRSC08
17:35,,IEPG21,ADM51H,,
19:00,XDES16,,XDES16,,XRSC07
19:50,XDES16,,XDES16,,XRSC07
21:00,XDES14,,XDES14,,XRSC07
21:50,XDES14,,XDES14,,XRSC07
13:30,,,CMCO07,CMCO07,
14:25,,,CMCO07,CMCO07,
15:45,XRSC09,,XRSC09,,
16:40,XRSC09,CMAC03,XRSC09,,
17:35,,CMAC03,,,
19:00,XPAD09,,XPAD09,,SADG02
19:50,XPAD09,,XPAD09,,SADG02
21:00,XMCO03,,XMCO03,,SADG02
21:50,XMCO03,,XMCO03,,SADG02
7:55,,PCO203,,,
8:50,,PCO203,,,
10:10,,PCO203,,,
11:05,,PCO203,,,
7:55,,,CCO016,CCO016,
8:50,,,CCO016,CCO016,
10:10,CCO016,CCO016,,CCO016,CCO016
11:05,CCO016,CCO016,,CCO016,CCO016
13:30,CCO016,,,CCO016,
14:25,CCO016,,,CCO016,
15:45,,CCO016,,CCO016,
16:40,,CCO016,,CCO016,
17:35,,,,,
19:00,,,ECOX22,,
19:50,,,ECOX22,,
21:00,,,ECOX22,,
